G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
1,Wed Oct 25 2023,7:00p,,Box Score,,Boston Celtics,L,,104,108,0,1,L 1,19812,2:39,
2,Fri Oct 27 2023,7:30p,,Box Score,@,Atlanta Hawks,W,,126,120,1,1,W 1,17692,2:11,
3,Sat Oct 28 2023,7:00p,,Box Score,@,New Orleans Pelicans,L,,87,96,1,2,L 1,16331,2:08,
4,Tue Oct 31 2023,7:30p,,Box Score,@,Cleveland Cavaliers,W,,109,91,2,2,W 1,19432,2:14,
5,Wed Nov 1 2023,7:30p,,Box Score,,Cleveland Cavaliers,L,,89,95,2,3,L 1,19812,2:22,
6,Fri Nov 3 2023,7:30p,,Box Score,@,Milwaukee Bucks,L,,105,110,2,4,L 2,17717,2:37,In-Season Tournament
7,Mon Nov 6 2023,7:30p,,Box Score,,Los Angeles Clippers,W,,111,97,3,4,W 1,19812,2:09,
8,Wed Nov 8 2023,7:30p,,Box Score,,San Antonio Spurs,W,,126,105,4,4,W 2,19812,2:12,
9,Sun Nov 12 2023,12:00p,,Box Score,,Charlotte Hornets,W,,129,107,5,4,W 3,19812,2:09,
10,Mon Nov 13 2023,7:30p,,Box Score,@,Boston Celtics,L,,98,114,5,5,L 1,19156,2:11,
11,Wed Nov 15 2023,7:30p,,Box Score,@,Atlanta Hawks,W,,116,114,6,5,W 1,17060,2:17,
12,Fri Nov 17 2023,7:00p,,Box Score,@,Washington Wizards,W,,120,99,7,5,W 2,16886,2:18,In-Season Tournament
13,Sat Nov 18 2023,6:00p,,Box Score,@,Charlotte Hornets,W,,122,108,8,5,W 3,19171,2:02,
14,Mon Nov 20 2023,8:00p,,Box Score,@,Minnesota Timberwolves,L,,100,117,8,6,L 1,18024,2:19,
15,Fri Nov 24 2023,7:30p,,Box Score,,Miami Heat,W,,100,98,9,6,W 1,19812,2:18,In-Season Tournament
16,Sun Nov 26 2023,6:00p,,Box Score,,Phoenix Suns,L,,113,116,9,7,L 1,19812,2:25,
17,Tue Nov 28 2023,7:30p,,Box Score,,Charlotte Hornets,W,,115,91,10,7,W 1,19111,2:03,In-Season Tournament
18,Thu Nov 30 2023,7:30p,,Box Score,,Detroit Pistons,W,,118,112,11,7,W 2,19812,2:18,
19,Fri Dec 1 2023,7:30p,,Box Score,@,Toronto Raptors,W,,119,106,12,7,W 3,19800,2:13,
20,Tue Dec 5 2023,7:30p,,Box Score,@,Milwaukee Bucks,L,,122,146,12,8,L 1,17448,2:21,In-Season Tournament
21,Fri Dec 8 2023,7:30p,,Box Score,@,Boston Celtics,L,,123,133,12,9,L 2,19156,2:16,
22,Mon Dec 11 2023,7:30p,,Box Score,,Toronto Raptors,W,,136,130,13,9,W 1,19812,2:21,
23,Wed Dec 13 2023,9:00p,,Box Score,@,Utah Jazz,L,,113,117,13,10,L 1,18206,2:29,
24,Fri Dec 15 2023,10:00p,,Box Score,@,Phoenix Suns,W,,139,122,14,10,W 1,17071,2:23,
25,Sat Dec 16 2023,10:30p,,Box Score,@,Los Angeles Clippers,L,,122,144,14,11,L 1,19370,2:15,
26,Mon Dec 18 2023,10:30p,,Box Score,@,Los Angeles Lakers,W,,114,109,15,11,W 1,18997,2:16,
27,Wed Dec 20 2023,7:30p,,Box Score,@,Brooklyn Nets,W,,121,102,16,11,W 2,18071,2:12,
28,Sat Dec 23 2023,12:30p,,Box Score,,Milwaukee Bucks,L,,111,130,16,12,L 1,19812,2:11,
29,Mon Dec 25 2023,12:00p,,Box Score,,Milwaukee Bucks,W,,129,122,17,12,W 1,19812,2:23,
30,Wed Dec 27 2023,8:00p,,Box Score,@,Oklahoma City Thunder,L,,120,129,17,13,L 1,18203,2:16,
31,Fri Dec 29 2023,7:00p,,Box Score,@,Orlando Magic,L,,108,117,17,14,L 2,19587,2:31,
32,Sat Dec 30 2023,7:00p,,Box Score,@,Indiana Pacers,L,,126,140,17,15,L 3,17274,2:14,
33,Mon Jan 1 2024,3:00p,,Box Score,,Minnesota Timberwolves,W,,112,106,18,15,W 1,19812,2:28,
34,Wed Jan 3 2024,8:30p,,Box Score,,Chicago Bulls,W,,116,100,19,15,W 2,19812,2:13,
35,Fri Jan 5 2024,7:30p,,Box Score,@,Philadelphia 76ers,W,,128,92,20,15,W 3,20461,2:21,
36,Sat Jan 6 2024,7:00p,,Box Score,@,Washington Wizards,W,,121,105,21,15,W 4,20333,2:10,
37,Tue Jan 9 2024,7:30p,,Box Score,,Portland Trail Blazers,W,,112,84,22,15,W 5,19812,2:04,
38,Thu Jan 11 2024,8:30p,,Box Score,@,Dallas Mavericks,L,,124,128,22,16,L 1,20040,2:24,
39,Sat Jan 13 2024,8:00p,,Box Score,@,Memphis Grizzlies,W,,106,94,23,16,W 1,16598,2:02,
40,Mon Jan 15 2024,3:00p,,Box Score,,Orlando Magic,L,,94,98,23,17,L 1,19812,2:16,
41,Wed Jan 17 2024,7:30p,,Box Score,,Houston Rockets,W,,109,94,24,17,W 1,19439,2:15,
42,Thu Jan 18 2024,7:30p,,Box Score,,Washington Wizards,W,,113,109,25,17,W 2,19466,2:24,
43,Sat Jan 20 2024,7:30p,,Box Score,,Toronto Raptors,W,,126,100,26,17,W 3,19812,2:11,
44,Tue Jan 23 2024,7:30p,,Box Score,@,Brooklyn Nets,W,,108,103,27,17,W 4,17732,2:12,
45,Thu Jan 25 2024,7:30p,,Box Score,,Denver Nuggets,W,,122,84,28,17,W 5,19812,2:05,
46,Sat Jan 27 2024,3:00p,,Box Score,,Miami Heat,W,,125,109,29,17,W 6,19812,2:23,
47,Mon Jan 29 2024,7:00p,,Box Score,@,Charlotte Hornets,W,,113,92,30,17,W 7,15546,2:03,
