G,Date,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue May 14 2024,@,Washington Mystics,W,,85,80,1,0,W 1,
2,Thu May 16 2024,@,Indiana Fever,W,,102,66,2,0,W 2,
3,Sat May 18 2024,,Indiana Fever,W,,91,80,3,0,W 3,
4,Mon May 20 2024,,Seattle Storm,W,,74,63,4,0,W 4,
5,Thu May 23 2024,,Chicago Sky,L,,81,90,4,1,L 1,
6,Sat May 25 2024,@,Minnesota Lynx,L,,67,84,4,2,L 2,
7,Wed May 29 2024,,Phoenix Mercury,W,,81,78,5,2,W 1,
8,Fri May 31 2024,,Washington Mystics,W,,90,79,6,2,W 2,
9,Sun Jun 2 2024,,Indiana Fever,W,,104,68,7,2,W 3,Commissioner's Cup Game
10,Tue Jun 4 2024,@,Chicago Sky,W,,88,75,8,2,W 4,Commissioner's Cup Game
11,Thu Jun 6 2024,@,Atlanta Dream,W,,78,61,9,2,W 5,Commissioner's Cup Game
12,Sat Jun 8 2024,@,Connecticut Sun,W,,82,75,10,2,W 6,Commissioner's Cup Game
13,Sun Jun 9 2024,,Washington Mystics,W,,93,88,11,2,W 7,Commissioner's Cup Game
14,Sat Jun 15 2024,@,Las Vegas Aces,W,,90,82,12,2,W 8,
15,Tue Jun 18 2024,@,Phoenix Mercury,L,,93,99,12,3,L 1,
16,Thu Jun 20 2024,,Los Angeles Sparks,W,,93,80,13,3,W 1,
17,Sat Jun 22 2024,,Los Angeles Sparks,W,,98,88,14,3,W 2,
18,Sun Jun 23 2024,@,Atlanta Dream,W,,96,75,15,3,W 3,
19,Sun Jun 30 2024,,Atlanta Dream,W,,81,75,16,3,W 4,
20,Tue Jul 2 2024,,Minnesota Lynx,W,,76,67,17,3,W 5,
21,Sat Jul 6 2024,@,Indiana Fever,L,,78,83,17,4,L 1,
22,Wed Jul 10 2024,@,Connecticut Sun,W,,71,68,18,4,W 1,
23,Thu Jul 11 2024,,Chicago Sky,W,,91,76,19,4,W 2,
24,Sat Jul 13 2024,@,Chicago Sky,W,,81,67,20,4,W 3,
25,Tue Jul 16 2024,,Connecticut Sun,W,,82,74,21,4,W 4,
26,Thu Aug 15 2024,@,Los Angeles Sparks,W,,103,68,22,4,W 5,
27,Sat Aug 17 2024,@,Las Vegas Aces,W,,79,67,23,4,W 6,
28,Tue Aug 20 2024,,Dallas Wings,W,,94,74,24,4,W 7,
29,Thu Aug 22 2024,,Dallas Wings,W,,79,71,25,4,W 8,
30,Sat Aug 24 2024,,Connecticut Sun,L,,64,72,25,5,L 1,
31,Mon Aug 26 2024,@,Phoenix Mercury,W,,84,70,26,5,W 1,
32,Wed Aug 28 2024,@,Los Angeles Sparks,L,,88,94,26,6,L 1,
33,Fri Aug 30 2024,@,Seattle Storm,W,,98,85,27,6,W 1,
34,Thu Sep 5 2024,,Seattle Storm,W,,77,70,28,6,W 2,
35,Sun Sep 8 2024,,Las Vegas Aces,W,,75,71,29,6,W 3,
36,Tue Sep 10 2024,@,Dallas Wings,W,,105,91,30,6,W 4,
37,Thu Sep 12 2024,@,Dallas Wings,W,,99,67,31,6,W 5,
38,Sun Sep 15 2024,,Minnesota Lynx,L,,79,88,31,7,L 1,
39,Tue Sep 17 2024,@,Washington Mystics,W,,87,71,32,7,W 1,
40,Thu Sep 19 2024,,Atlanta Dream,L,,67,78,32,8,L 1,
