G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
1,Wed Oct 25 2023,7:30p,,Box Score,,Cleveland Cavaliers,L,,113,114,0,1,L 1,17931,2:18,
2,Fri Oct 27 2023,8:30p,,Box Score,@,Dallas Mavericks,L,,120,125,0,2,L 2,20238,2:14,
3,Mon Oct 30 2023,7:00p,,Box Score,@,Charlotte Hornets,W,,133,121,1,2,W 1,14491,2:12,
4,Wed Nov 1 2023,7:30p,,Box Score,@,Miami Heat,W,,109,105,2,2,W 2,19600,2:14,
5,Fri Nov 3 2023,8:00p,,Box Score,@,Chicago Bulls,W,,109,107,3,2,W 3,20645,2:03,In-Season Tournament
6,Sat Nov 4 2023,8:00p,,Box Score,,Boston Celtics,L,,114,124,3,3,L 1,17983,2:10,
7,Mon Nov 6 2023,7:30p,,Box Score,,Milwaukee Bucks,L,,125,129,3,4,L 2,17935,2:20,
8,Wed Nov 8 2023,7:30p,,Box Score,,Los Angeles Clippers,W,,100,93,4,4,W 1,17933,2:03,
9,Fri Nov 10 2023,7:30p,,Box Score,@,Boston Celtics,L,,107,121,4,5,L 1,19156,2:11,In-Season Tournament
10,Sun Nov 12 2023,3:00p,,Box Score,,Washington Wizards,W,,102,94,5,5,W 1,17732,2:17,
11,Tue Nov 14 2023,7:30p,,Box Score,,Orlando Magic,W,,124,104,6,5,W 2,17361,2:07,In-Season Tournament
12,Thu Nov 16 2023,7:30p,,Box Score,@,Miami Heat,L,,115,122,6,6,L 1,19866,2:17,
13,Sun Nov 19 2023,3:00p,,Box Score,,Philadelphia 76ers,L,,99,121,6,7,L 2,17934,2:08,
14,Wed Nov 22 2023,7:30p,,Box Score,@,Atlanta Hawks,L,OT,145,147,6,8,L 3,17340,2:37,
15,Sat Nov 25 2023,6:00p,,Box Score,,Miami Heat,W,,112,97,7,8,W 1,17817,2:10,
16,Sun Nov 26 2023,7:30p,,Box Score,,Chicago Bulls,W,,118,109,8,8,W 2,16687,2:03,
17,Tue Nov 28 2023,7:30p,,Box Score,,Toronto Raptors,W,,115,103,9,8,W 3,15844,2:11,In-Season Tournament
18,Thu Nov 30 2023,7:30p,,Box Score,,Charlotte Hornets,L,,128,129,9,9,L 1,16072,2:01,
19,Sat Dec 2 2023,7:00p,,Box Score,,Orlando Magic,W,,129,101,10,9,W 1,17966,2:20,
20,Wed Dec 6 2023,7:30p,,Box Score,@,Atlanta Hawks,W,,114,113,11,9,W 2,15906,2:21,
21,Fri Dec 8 2023,7:30p,,Box Score,,Washington Wizards,W,,124,97,12,9,W 3,16587,2:09,
22,Mon Dec 11 2023,10:00p,,Box Score,@,Sacramento Kings,L,,118,131,12,10,L 1,17794,2:11,
23,Wed Dec 13 2023,9:00p,,Box Score,@,Phoenix Suns,W,,116,112,13,10,W 1,17071,2:20,
24,Thu Dec 14 2023,9:00p,,Box Score,@,Denver Nuggets,L,,101,124,13,11,L 1,19636,2:12,
25,Sat Dec 16 2023,8:30p,,Box Score,@,Golden State Warriors,L,,120,124,13,12,L 2,18064,2:14,
26,Mon Dec 18 2023,9:00p,,Box Score,@,Utah Jazz,L,,108,125,13,13,L 3,18206,2:10,
27,Wed Dec 20 2023,7:30p,,Box Score,,New York Knicks,L,,102,121,13,14,L 4,18071,2:12,
28,Fri Dec 22 2023,7:30p,,Box Score,,Denver Nuggets,L,,117,122,13,15,L 5,17732,2:17,
29,Sat Dec 23 2023,7:30p,,Box Score,,Detroit Pistons,W,,126,115,14,15,W 1,17732,2:20,
30,Tue Dec 26 2023,7:00p,,Box Score,@,Detroit Pistons,W,,118,112,15,15,W 2,19811,2:27,
31,Wed Dec 27 2023,7:30p,,Box Score,,Milwaukee Bucks,L,,122,144,15,16,L 1,18199,2:16,
32,Fri Dec 29 2023,7:00p,,Box Score,@,Washington Wizards,L,,104,110,15,17,L 2,16825,2:04,
33,Sun Dec 31 2023,7:00p,,Box Score,@,Oklahoma City Thunder,L,,108,124,15,18,L 3,18203,2:19,
34,Tue Jan 2 2024,8:00p,,Box Score,@,New Orleans Pelicans,L,,85,112,15,19,L 4,16253,1:56,
35,Wed Jan 3 2024,8:00p,,Box Score,@,Houston Rockets,L,,101,112,15,20,L 5,16563,2:15,
36,Fri Jan 5 2024,7:30p,,Box Score,,Oklahoma City Thunder,W,,124,115,16,20,W 1,18147,2:22,
37,Sun Jan 7 2024,3:00p,,Box Score,,Portland Trail Blazers,L,OT,127,134,16,21,L 1,17732,2:40,
38,Thu Jan 11 2024,2:00p,,Box Score,@,Cleveland Cavaliers,L,,102,111,16,22,L 2,15887,2:31,at Paris France
39,Mon Jan 15 2024,7:30p,,Box Score,,Miami Heat,L,OT,95,96,16,23,L 3,17893,2:28,
40,Wed Jan 17 2024,10:00p,,Box Score,@,Portland Trail Blazers,L,,103,105,16,24,L 4,17021,2:13,
