,Date,W/L,Team,Opponent
7,2024-04-05,L,NYY,TOR
8,2024-04-06,W,NYY,TOR
9,2024-04-07,W,NYY,TOR
10,2024-04-08,W,NYY,MIA
11,2024-04-09,W,NYY,MIA
12,2024-04-10,L,NYY,MIA
19,2024-04-19,W,NYY,TBR
20,2024-04-20,L,NYY,TBR
21,2024-04-21,W,NYY,TBR
22,2024-04-22,L,NYY,OAK
23,2024-04-23,W,NYY,OAK
24,2024-04-24,W,NYY,OAK
25,2024-04-25,L,NYY,OAK
33,2024-05-03,W-wo,NYY,DET
34,2024-05-04,W,NYY,DET
35,2024-05-05,W,NYY,DET
36,2024-05-07,W,NYY,HOU
37,2024-05-08,W,NYY,HOU
38,2024-05-09,L,NYY,HOU
45,2024-05-17,W,NYY,CHW
46,2024-05-18,W,NYY,CHW
47,2024-05-19,W,NYY,CHW
48,2024-05-20,L,NYY,SEA
49,2024-05-21,L,NYY,SEA
50,2024-05-22,W,NYY,SEA
51,2024-05-23,W,NYY,SEA
61,2024-06-04,W,NYY,MIN
62,2024-06-05,W,NYY,MIN
63,2024-06-06,W,NYY,MIN
64,2024-06-07,L,NYY,LAD
65,2024-06-08,L,NYY,LAD
66,2024-06-09,W,NYY,LAD
74,2024-06-18,W,NYY,BAL
75,2024-06-19,L,NYY,BAL
76,2024-06-20,L,NYY,BAL
77,2024-06-21,L,NYY,ATL
78,2024-06-22,W,NYY,ATL
79,2024-06-23,L,NYY,ATL
86,2024-07-02,L,NYY,CIN
87,2024-07-03,L,NYY,CIN
88,2024-07-04,L,NYY,CIN
89,2024-07-05,L,NYY,BOS
90,2024-07-06,W,NYY,BOS
91,2024-07-07,L,NYY,BOS
98,2024-07-19,W,NYY,TBR
99,2024-07-20,L,NYY,TBR
100,2024-07-21,L,NYY,TBR
101,2024-07-22,W,NYY,TBR
102,2024-07-23,L,NYY,NYM
103,2024-07-24,L,NYY,NYM
110,2024-08-02,L,NYY,TOR
111,2024-08-03,W,NYY,TOR
112,2024-08-04,W-wo,NYY,TOR
113,2024-08-07,W,NYY,LAA
114,2024-08-07,L,NYY,LAA
115,2024-08-08,L,NYY,LAA
116,2024-08-10,W,NYY,TEX
117,2024-08-10,L,NYY,TEX
118,2024-08-11,W,NYY,TEX
125,2024-08-20,L,NYY,CLE
126,2024-08-21,W,NYY,CLE
127,2024-08-22,W,NYY,CLE
128,2024-08-23,W,NYY,COL
129,2024-08-24,L,NYY,COL
130,2024-08-25,W,NYY,COL
134,2024-08-30,W,NYY,STL
135,2024-08-31,L,NYY,STL
136,2024-09-01,L,NYY,STL
143,2024-09-09,W,NYY,KCR
