Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Mar 29,boxscore,NYM,,MIL,L,1,3,,0-1,2,1.0,Peralta,Quintana,Uribe,2:28,D,42137,0.94,-,
2,Saturday Mar 30,boxscore,NYM,,MIL,L,6,7,,0-2,3,2.0,Peguero,Severino,Uribe,2:50,D,30296,0.90,--,
3,Sunday Mar 31,boxscore,NYM,,MIL,L,1,4,,0-3,4,2.0,Rea,Megill,Payamps,2:43,D,22222,0.86,---,
4,Monday Apr 1,boxscore,NYM,,DET,L,0,5,10,0-4,4,3.0,Foley,Tonkin,,2:46,N,16853,0.77,----,
5,Thursday Apr 4 (1),boxscore,NYM,,DET,L,3,6,11,0-5,4,2.5,Miller,Tonkin,,3:25,D,,0.75,-----,
6,Thursday Apr 4 (2),boxscore,NYM,,DET,W-wo,2,1,,1-5,4,2.5,Garrett,Faedo,,2:23,D,15020,0.70,+,
7,Friday Apr 5,boxscore,NYM,@,CIN,W,3,2,,2-5,3,2.5,Smith,Cruz,Díaz,2:58,N,16620,0.79,++,
8,Saturday Apr 6,boxscore,NYM,@,CIN,L,6,9,,2-6,3,3.5,Pagán,Ramírez,,2:38,D,28307,0.83,-,
9,Sunday Apr 7,boxscore,NYM,@,CIN,W,3,1,,3-6,3,3.5,Manaea,Abbott,Díaz,2:38,D,26656,0.80,+,
10,Monday Apr 8,boxscore,NYM,@,ATL,W,8,7,,4-6,3,2.5,Diekman,Johnson,López,3:27,N,37538,0.94,++,
11,Tuesday Apr 9,boxscore,NYM,@,ATL,L,5,6,,4-7,4,3.5,López,Houser,Iglesias,2:42,N,32065,1.00,-,
12,Thursday Apr 11,boxscore,NYM,@,ATL,W,16,4,,5-7,3,2.5,Quintana,Winans,,2:50,D,34352,0.93,+,
13,Friday Apr 12,boxscore,NYM,,KCR,W,6,1,,6-7,3,2.5,Severino,Wacha,,2:18,N,18822,0.83,++,
14,Saturday Apr 13,boxscore,NYM,,KCR,L,7,11,,6-8,3,2.5,Marsh,Manaea,,2:56,D,25387,0.86,-,
15,Sunday Apr 14,boxscore,NYM,,KCR,W,2,1,,7-8,3,2.5,Raley,Stratton,Díaz,2:22,D,32749,0.81,+,
16,Monday Apr 15,boxscore,NYM,,PIT,W,6,3,,8-8,3,2.5,Ottavino,Chapman,Díaz,2:43,N,18266,0.92,++,
17,Tuesday Apr 16,boxscore,NYM,,PIT,W,3,1,,9-8,3,2.5,Garrett,Ortiz,Smith,2:28,N,18398,0.96,+++,
18,Wednesday Apr 17,boxscore,NYM,,PIT,W,9,1,,10-8,3,2.5,Severino,Falter,,2:33,D,18092,0.99,++++,
19,Friday Apr 19,boxscore,NYM,@,LAD,W,9,4,,11-8,3,2.5,Garrett,Hudson,,3:03,N,44783,1.05,+++++,
20,Saturday Apr 20,boxscore,NYM,@,LAD,W,6,4,,12-8,3,2.5,Tonkin,Yarbrough,Garrett,3:20,D,45373,1.12,++++++,
21,Sunday Apr 21,boxscore,NYM,@,LAD,L,0,10,,12-9,3,2.5,Glasnow,Houser,,2:18,D,49287,1.09,-,
