Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 28,boxscore,NYY,@,HOU,W,5,4,,1-0,1,Tied,Loáisiga,Pressly,Holmes,2:41,D,42642,0.93,+,
2,Friday Mar 29,boxscore,NYY,@,HOU,W,7,1,,2-0,1,up 0.5,Weaver,Scott,,3:17,N,41583,0.99,++,
3,Saturday Mar 30,boxscore,NYY,@,HOU,W,5,3,,3-0,1,up 0.5,Stroman,Abreu,Holmes,2:54,N,41247,1.05,+++,
4,Sunday Mar 31,boxscore,NYY,@,HOU,W,4,3,,4-0,1,up 1.5,Burdi,Hader,Holmes,2:56,D,36908,1.06,++++,
5,Monday Apr 1,boxscore,NYY,@,ARI,W,5,2,,5-0,1,up 1.5,Weaver,Nelson,González,2:59,N,38608,1.04,+++++,
6,Tuesday Apr 2,boxscore,NYY,@,ARI,L,0,7,,5-1,1,up 1.0,Gallen,Cortés,,2:27,N,39863,1.05,-,
7,Wednesday Apr 3,boxscore,NYY,@,ARI,W,6,5,11,6-1,1,up 1.0,Holmes,McGough,Ferguson,3:04,D,35038,1.03,+,
8,Friday Apr 5,boxscore,NYY,,TOR,L,0,3,,6-2,1,Tied,García,Ferguson,Green,2:54,D,47812,1.15,-,
9,Saturday Apr 6,boxscore,NYY,,TOR,W,9,8,,7-2,1,up 1.0,Weaver,Gausman,Holmes,3:20,N,42250,1.14,+,
10,Sunday Apr 7,boxscore,NYY,,TOR,W,8,3,,8-2,1,up 1.0,Cousins,Francis,Santana,3:10,D,40569,1.22,++,
11,Monday Apr 8,boxscore,NYY,,MIA,W,7,0,,9-2,1,up 1.5,Cortés,Luzardo,,2:01,N,31071,1.09,+++,
12,Tuesday Apr 9,boxscore,NYY,,MIA,W,3,2,,10-2,1,up 2.5,Rodón,Puk,Holmes,2:35,N,37680,1.11,++++,
13,Wednesday Apr 10,boxscore,NYY,,MIA,L,2,5,,10-3,1,up 2.0,Weathers,Stroman,Scott,2:50,N,36295,1.11,-,
14,Saturday Apr 13 (1),boxscore,NYY,@,CLE,W,3,2,,11-3,1,up 3.5,Schmidt,Carrasco,Holmes,2:57,D,17089,1.19,+,
15,Saturday Apr 13 (2),boxscore,NYY,@,CLE,W,8,2,,12-3,1,up 3.5,Poteet,McKenzie,,2:28,N,31066,1.22,++,
16,Sunday Apr 14,boxscore,NYY,@,CLE,L-wo,7,8,10,12-4,1,up 2.5,Beede,Ferguson,,3:08,D,28119,1.21,-,
17,Monday Apr 15,boxscore,NYY,@,TOR,L,1,3,,12-5,1,up 1.5,Bassitt,Gil,García,2:23,N,30962,1.23,--,
18,Tuesday Apr 16,boxscore,NYY,@,TOR,L,4,5,,12-6,1,up 0.5,Kikuchi,Rodón,Romano,2:56,N,31175,1.25,---,
19,Wednesday Apr 17,boxscore,NYY,@,TOR,W,6,4,,13-6,1,up 0.5,González,Swanson,Holmes,3:10,D,30233,1.24,+,
20,Friday Apr 19,boxscore,NYY,,TBR,W,5,3,,14-6,1,up 1.5,Santana,Devenski,Holmes,2:40,N,36055,1.24,++,
21,Saturday Apr 20,boxscore,NYY,,TBR,L,0,2,10,14-7,1,up 0.5,Adam,Ferguson,Cleavinger,2:25,D,47629,1.21,-,
22,Sunday Apr 21,boxscore,NYY,,TBR,W,5,4,,15-7,1,up 0.5,Gil,Civale,González,2:42,D,40022,1.22,+,
