latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.738136,-74.04254,51.0,-14400,America/New_York,EDT

time,temperature_2m (°F),relative_humidity_2m (%),apparent_temperature (°F),precipitation (inch),weather_code (wmo code)
2024-01-01T00:00,34.9,74,28.8,0.000,3
2024-01-01T01:00,34.8,76,28.1,0.000,3
2024-01-01T02:00,36.6,74,29.4,0.000,3
2024-01-01T03:00,36.8,74,30.1,0.000,3
2024-01-01T04:00,36.5,76,30.2,0.000,2
2024-01-01T05:00,32.9,88,26.7,0.000,2
2024-01-01T06:00,32.0,91,25.5,0.000,3
2024-01-01T07:00,34.2,88,29.3,0.000,3
2024-01-01T08:00,35.0,86,29.7,0.000,3
2024-01-01T09:00,37.4,81,32.4,0.000,3
2024-01-01T10:00,38.5,77,33.4,0.000,3
2024-01-01T11:00,40.1,72,34.4,0.000,2
2024-01-01T12:00,41.6,69,36.1,0.000,1
2024-01-01T13:00,43.7,64,38.2,0.000,0
2024-01-01T14:00,45.4,59,39.4,0.000,3
2024-01-01T15:00,45.1,59,38.9,0.000,3
2024-01-01T16:00,44.8,58,38.5,0.000,3
2024-01-01T17:00,44.2,59,38.1,0.000,3
2024-01-01T18:00,40.3,72,34.7,0.000,0
2024-01-01T19:00,37.6,79,31.9,0.000,3
2024-01-01T20:00,35.2,87,29.5,0.000,1
2024-01-01T21:00,35.5,79,28.3,0.000,0
2024-01-01T22:00,34.7,70,26.4,0.000,0
2024-01-01T23:00,32.9,73,24.3,0.000,0
2024-01-02T00:00,31.0,78,22.6,0.000,0
2024-01-02T01:00,29.5,78,21.2,0.000,0
2024-01-02T02:00,28.4,79,20.0,0.000,0
2024-01-02T03:00,27.5,79,19.6,0.000,0
2024-01-02T04:00,26.6,80,18.8,0.000,0
2024-01-02T05:00,25.5,83,17.9,0.000,0
2024-01-02T06:00,24.6,87,17.2,0.000,0
2024-01-02T07:00,23.9,88,16.9,0.000,0
2024-01-02T08:00,23.3,89,16.4,0.000,0
2024-01-02T09:00,26.6,80,19.2,0.000,0
2024-01-02T10:00,29.9,67,22.2,0.000,0
