GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,2023-10-12,@,Buffalo Sabres,5,1,W,,1,0,0,W 1,19070,2:26,
2,2023-10-14,@,Columbus Blue Jackets,3,5,L,,1,1,0,L 1,16520,2:34,
3,2023-10-16,,Arizona Coyotes,2,1,W,,2,1,0,W 1,18006,2:29,
4,2023-10-19,,Nashville Predators,1,4,L,,2,2,0,L 1,18006,2:24,
5,2023-10-21,@,Seattle Kraken,4,1,W,,3,2,0,W 1,17151,2:38,
6,2023-10-24,@,Calgary Flames,3,1,W,,4,2,0,W 2,16800,2:25,
7,2023-10-26,@,Edmonton Oilers,3,0,W,,5,2,0,W 3,17939,2:26,
8,2023-10-28,@,Vancouver Canucks,4,3,W,OT,6,2,0,W 4,18483,2:31,
9,2023-10-30,@,Winnipeg Jets,3,2,W,OT,7,2,0,W 5,11898,2:29,
10,2023-11-02,,Carolina Hurricanes,2,1,W,,8,2,0,W 6,18006,2:31,
11,2023-11-04,@,Minnesota Wild,4,5,L,SO,8,2,1,L 1,18678,2:38,
12,2023-11-07,,Detroit Red Wings,5,3,W,,9,2,1,W 1,18006,2:25,
13,2023-11-09,,Minnesota Wild,4,1,W,,10,2,1,W 2,18006,2:23,
14,2023-11-12,,Columbus Blue Jackets,4,3,W,SO,11,2,1,W 3,18006,2:55,
15,2023-11-18,@,New Jersey Devils,5,3,W,,12,2,1,W 4,17086,2:32,
16,2023-11-20,@,Dallas Stars,3,6,L,,12,3,1,L 1,18532,2:33,
17,2023-11-22,@,Pittsburgh Penguins,1,0,W,,13,3,1,W 1,18250,2:31,
18,2023-11-24,@,Philadelphia Flyers,3,1,W,,14,3,1,W 2,19032,2:31,
19,2023-11-25,,Boston Bruins,7,4,W,,15,3,1,W 3,18006,2:41,
20,2023-11-27,,Buffalo Sabres,1,5,L,,15,4,1,L 1,18006,2:21,
21,2023-11-29,,Detroit Red Wings,3,2,W,,16,4,1,W 1,18006,2:34,
22,2023-12-02,@,Nashville Predators,4,3,W,,17,4,1,W 2,17341,2:34,
23,2023-12-03,,San Jose Sharks,6,5,W,,18,4,1,W 3,18006,2:31,
24,2023-12-05,@,Ottawa Senators,2,6,L,,18,5,1,L 1,17362,2:28,
25,2023-12-09,@,Washington Capitals,0,4,L,,18,6,1,L 2,18573,2:29,
26,2023-12-10,,Los Angeles Kings,4,1,W,,19,6,1,W 1,18006,2:32,
27,2023-12-12,,Toronto Maple Leafs,3,7,L,,19,7,1,L 1,18006,2:26,
28,2023-12-15,,Anaheim Ducks,5,1,W,,20,7,1,W 1,18006,2:34,
29,2023-12-16,@,Boston Bruins,2,1,W,OT,21,7,1,W 2,17850,2:35,
30,2023-12-19,@,Toronto Maple Leafs,5,2,W,,22,7,1,W 3,19264,2:22,
